time,LymanAlpha,type
1997001,3.48,1
1997002,3.51,1
1997003,3.55,1
1997004,3.58,1
1997005,3.58,1
1997006,3.58,1
1997007,3.58,1
1997008,3.61,1
1997009,3.64,1
1997010,3.66,1
1997011,3.66,1
1997012,3.67,1
1997013,3.68,1
1997014,3.68,1
1997015,3.69,1
1997016,3.70,1
1997017,3.69,1
1997018,3.66,1
1997019,3.64,1
1997020,3.63,1
1997021,3.60,1
1997022,3.58,1
1997023,3.57,1
1997024,3.55,1
1997025,3.55,1
1997026,3.53,1
1997027,3.54,1
1997028,3.55,1
1997029,3.56,1
1997030,3.57,1
1997031,3.58,1
1997032,3.60,1
1997033,3.64,1
1997034,3.66,1
1997035,3.66,1
1997036,3.65,1
1997037,3.65,1
1997038,3.67,1
1997039,3.69,1
1997040,3.69,1
1997041,3.68,1
1997042,3.66,1
1997043,3.64,1
1997044,3.62,1
1997045,3.60,1
1997046,3.57,1
1997047,3.54,1
1997048,3.54,1
1997049,3.56,1
1997050,3.56,1
1997051,3.56,1
1997052,3.57,1
1997053,3.59,1
1997054,3.61,1
1997055,3.62,1
1997056,3.64,1
1997057,3.65,1
1997058,3.66,1
1997059,3.64,1
1997060,3.62,1
1997061,3.60,1
1997062,3.63,1
1997063,3.64,1
1997064,3.64,1
1997065,3.65,1
1997066,3.66,1
1997067,3.66,1
1997068,3.67,1
1997069,3.67,1
1997070,3.67,1
1997071,3.68,1
1997072,3.68,1
1997073,3.68,1
1997074,3.67,1
1997075,3.65,1
1997076,3.63,1
1997077,3.60,1
1997078,3.58,1
1997079,3.55,1
1997080,3.54,1
1997081,3.52,1
1997082,3.51,1
1997083,3.50,1
1997084,3.50,1
1997085,3.51,1
1997086,3.53,1
1997087,3.56,1
1997088,3.57,1
1997089,3.58,1
1997090,3.57,1
1997091,3.59,1
1997092,3.63,1
1997093,3.67,1
1997094,3.70,1
1997095,3.71,1
1997096,3.72,1
1997097,3.73,1
1997098,3.74,1
1997099,3.74,1
1997100,3.74,1
1997101,3.73,1
1997102,3.70,1
1997103,3.67,1
1997104,3.63,1
1997105,3.61,1
1997106,3.58,1
1997107,3.58,1
1997108,3.57,1
1997109,3.56,1
1997110,3.56,1
1997111,3.55,1
1997112,3.54,1
1997113,3.54,1
1997114,3.55,1
1997115,3.58,1
1997116,3.61,1
1997117,3.64,1
1997118,3.64,1
1997119,3.65,1
1997120,3.66,1
1997121,3.68,1
1997122,3.70,1
1997123,3.71,1
1997124,3.71,1
1997125,3.71,1
1997126,3.71,1
1997127,3.71,1
1997128,3.69,1
1997129,3.65,1
1997130,3.61,1
1997131,3.57,1
1997132,3.55,1
1997133,3.53,1
1997134,3.54,1
1997135,3.54,1
1997136,3.54,1
1997137,3.55,1
1997138,3.55,1
1997139,3.57,1
1997140,3.59,1
1997141,3.63,1
1997142,3.65,1
1997143,3.64,1
1997144,3.64,1
1997145,3.67,1
1997146,3.71,1
1997147,3.74,1
1997148,3.77,1
1997149,3.80,1
1997150,3.81,1
1997151,3.80,1
1997152,3.79,1
1997153,3.77,1
1997154,3.76,1
1997155,3.71,1
1997156,3.65,1
1997157,3.60,1
1997158,3.58,1
1997159,3.56,1
1997160,3.55,1
1997161,3.54,1
1997162,3.55,1
1997163,3.56,1
1997164,3.57,1
1997165,3.57,1
1997166,3.57,1
1997167,3.56,1
1997168,3.57,1
1997169,3.58,1
1997170,3.58,1
1997171,3.60,1
1997172,3.63,1
1997173,3.67,1
1997174,3.68,1
1997175,3.67,1
1997176,3.68,1
1997177,3.69,1
1997178,3.70,1
1997179,3.71,1
1997180,3.69,1
1997181,3.68,1
1997182,3.67,1
1997183,3.66,1
1997184,3.65,1
1997185,3.64,1
1997186,3.63,1
1997187,3.63,1
1997188,3.63,1
1997189,3.63,1
1997190,3.62,1
1997191,3.59,1
1997192,3.56,1
1997193,3.54,1
1997194,3.53,1
1997195,3.53,1
1997196,3.54,1
1997197,3.56,1
1997198,3.59,1
1997199,3.61,1
1997200,3.61,1
1997201,3.59,1
1997202,3.59,1
1997203,3.60,1
1997204,3.61,1
1997205,3.64,1
1997206,3.65,1
1997207,3.65,1
1997208,3.62,1
1997209,3.60,1
1997210,3.58,1
1997211,3.57,1
1997212,3.56,1
1997213,3.56,1
1997214,3.56,1
1997215,3.56,1
1997216,3.57,1
1997217,3.61,1
1997218,3.64,1
1997219,3.68,1
1997220,3.69,1
1997221,3.69,1
1997222,3.69,1
1997223,3.71,1
1997224,3.74,1
1997225,3.73,1
1997226,3.70,1
1997227,3.66,1
1997228,3.65,1
1997229,3.65,1
1997230,3.64,1
1997231,3.63,1
1997232,3.62,1
1997233,3.62,1
1997234,3.61,1
1997235,3.62,1
1997236,3.63,1
1997237,3.66,1
1997238,3.68,1
1997239,3.72,1
1997240,3.74,1
1997241,3.79,1
1997242,3.84,1
1997243,3.89,1
