  julian_date mpsi  mwsi
  j606.240  2.5103960  0.6100856
  j607.219  2.6781540  0.6140654
  j614.296  1.9081039  0.7143868
  j615.267  2.6839061  1.4123859
  j616.234  1.9750251  0.8636769
  j617.247  1.9278491  0.7273916
  j618.262  1.9555280  0.5879393
  j619.234  1.3524630  0.1320968
  j620.221  1.0636530  0.0782069
  j624.309  1.9669859  0.2430117
  j625.430  2.5533841  0.3544850
  j631.245  4.0963311  2.1113801
  j632.272  4.0336680  2.0616970
  j633.245  3.7542770  1.4443240
  j634.253  2.7144599  0.7948917
  j635.297  2.9513121  1.2511290
  j636.243  2.5457239  0.9995855
  j637.278  2.3513491  1.0051150
  j638.311  3.3578150  1.7458330
  j639.253  3.4392819  1.5880370
  j640.288  3.8510799  1.9557400
  j641.224  3.4975209  1.6102310
  j642.458  3.3397379  1.6342880
  j644.446  2.4849870  1.0576340
  j651.435  2.7447989  0.7606725
  j652.257  2.6515770  0.5143274
  j654.253  3.8454080  1.2730070
  j655.240  3.2884600  0.8093604
  j658.461  2.2999780  0.4490669
  j659.250  1.6461500  0.1804467
  j660.230  2.4193530  0.5205395
  j662.228  1.8432450  0.0813041
  j663.436  1.5417420  0.1033398
  j664.232  1.6421520  0.0976159
  j665.236  1.7491601  0.1113477
  j666.243  1.9327331  0.1463679
  j668.311  2.7584660  0.5599813
  j670.303  2.5356030  0.6464903
  j671.243  2.6023901  0.6697677
  j672.324  2.8208411  0.7157831
  j674.311  2.3586349  0.4359450
  j675.223  2.0419099  0.4470333
  j677.264  2.2449319  0.4155895
  j678.280  2.5037501  0.4564495
  j681.260  3.0900259  0.7518857
  j682.302  3.7230501  1.3720330
  j683.304  3.1472969  1.1515360
  j684.257  3.2582240  1.3674220
  j686.437  3.0289440  1.6142460
  j687.223  3.2130051  1.6074400
  j688.298  2.8880920  1.5503809
  j689.325  2.2283599  0.9713787
  j692.214  1.7325490  0.3939571
  j696.203  1.9769239  0.2921010
  j699.194  1.5926250  0.2202570
  j700.187  2.0021830  0.2444338
  j701.267  1.7898250  0.0981807
  j702.320  1.6953220  0.0639838
  j706.219  1.9903409  0.5000187
