 42 ;number of following comments lines before data start
;A description of the construction of the composite can be found in:
;(1) C.Fr\"ohlich and J. Lean, 1998, "Total Solar Irradiance Variations",
;  in: F.L.Deubner et al., Eds., "New Eyes to see inside the Sun and Stars", 
;  Proceedings IAU Symposium 185, Kyoto, August 1997, Kluwer Academic Publ., 
;  Dordrecht, The Netherlands, pp. 89-102 (up to version 3), in:
;(2) C.Fr\"ohlich and J. Lean, 1998, "The Suns Total Irradiance: Cycles, 
;  Trends and Related Climate Change Uncertainties since 1978", 
;  Geophys.Res.Let., 25, pp.  4377-4380, 1998 (up to version 8) and in:
;(3) C.Fr\"ohlich, 2000, "Observations of Irradiance Variations, 
;  Space Science Rev., 94, pp. 15-24 (up to version 18)
;(4) C. Fr\"ohlich, 2003, "Long-Term Behaviour of Space Radiometers", 
;  Metrologia, 40, in press (up to version 24), 
;(5) C. Fr\"ohlich, 2003, "Solar Irradiance Variability", in: Chapter 2 of 
;  Geophysical Monograph Series, 111, American Geophysical Union, in press 
;  (since version 25).
;
;This dataset is freely available with one restriction:
;  If you use the data or some product based on the data in a published 
;  paper refer to Ref2 (the 'standard' description) and acknowlege receipt of the 
;  dataset (mention version used) from PMOD/WRC, Davos, Switzerland,
;  and acknowledge "unpublished data from the VIRGO Experiment on the cooperative 
;  ESA/NASA Mission SoHO"
;
;The composite listed below is version d25_07_0310a in file composite_d25_07_0310a.dat
;  and the file was created on Oct 06 2003
;
;Comments for versions >d19:
;  Improved algorithm for calculation of VIRGO level 2 (version >4.50).
;  ACRIM II data are used to fill the gap during the SOHO Vacations in 1998 and 
;  early 1999. The version means: 'd25': version of composite algorithm (corrections 
;  for the radiometers other than VIRGO, as described in Ref5), '05_0301': is 
;  the last part of the VIRGO version (5_007_0310a) used to update the composite 
;  until 01-10-2003 (for details about VIRGO radiometry see Ref4).
;  Virgo versions 5_006 and higher have slightly different linear corrections after the 
;  SoHO vacations, for details see http://www.pmodwrc.ch/pmod.php?topic=tsi/virgo/proj_space_virgo.
;  UARS/ACRIM is version II:101001 available from http://acrim.com/Data%20Products.htm.
;Description of columns: 
;  1st col: date as YYMMDD
;  2nd col: day of epoch 0 Jan 1980 (1 corresponds to 1-Jan-1980)
;  3rd col: average irradiance in W/m2 (over period of day), no data: -99.
;  format: (1X,I6.6,F9.2,F11.4)
;$ Data:
 970101  6211.50  1365.4649
 970102  6212.50  1365.4826
 970103  6213.50  1365.5386
 970104  6214.50  1365.5321
 970105  6215.50  1365.5344
 970106  6216.50  1365.5136
 970107  6217.50  1365.5462
 970108  6218.50  1365.6050
 970109  6219.50  1365.6372
 970110  6220.50  1365.6764
 970111  6221.50  1365.6640
 970112  6222.50  1365.6097
 970113  6223.50  1365.5961
 970114  6224.50  1365.6396
 970115  6225.50  1365.6106
 970116  6226.50  1365.5993
 970117  6227.50  1365.6440
 970118  6228.50  1365.5851
 970119  6229.50  1365.5644
 970120  6230.50  1365.5571
 970121  6231.50  1365.5164
 970122  6232.50  1365.4741
 970123  6233.50  1365.4806
 970124  6234.50  1365.5121
 970125  6235.50  1365.5086
 970126  6236.50  1365.4560
 970127  6237.50  1365.4414
 970128  6238.50  1365.4824
 970129  6239.50  1365.4683
 970130  6240.50  1365.4853
 970131  6241.50  1365.5174
 970201  6242.50  1365.5173
 970202  6243.50  1365.4904
 970203  6244.50  1365.3689
 970204  6245.50  1365.4504
 970205  6246.50  1365.5808
 970206  6247.50  1365.6250
 970207  6248.50  1365.6140
 970208  6249.50  1365.5843
 970209  6250.50  1365.6035
 970210  6251.50  1365.5793
 970211  6252.50  1365.5638
 970212  6253.50  1365.5446
 970213  6254.50  1365.5163
 970214  6255.50  1365.4969
 970215  6256.50  1365.4967
 970216  6257.50  1365.5182
 970217  6258.50  1365.4929
 970218  6259.50  1365.5060
 970219  6260.50  1365.5000
 970220  6261.50  1365.4777
 970221  6262.50  1365.4725
 970222  6263.50  1365.4551
 970223  6264.50  1365.4831
 970224  6265.50  1365.5437
 970225  6266.50  1365.5753
 970226  6267.50  1365.6032
 970227  6268.50  1365.6038
 970228  6269.50  1365.5667
 970301  6270.50  1365.6430
 970302  6271.50  1365.6022
 970303  6272.50  1365.6175
 970304  6273.50  1365.6064
 970305  6274.50  1365.6211
 970306  6275.50  1365.5929
 970307  6276.50  1365.6153
 970308  6277.50  1365.6322
 970309  6278.50  1365.6334
 970310  6279.50  1365.6068
 970311  6280.50  1365.5974
 970312  6281.50  1365.5653
 970313  6282.50  1365.6054
 970314  6283.50  1365.5675
 970315  6284.50  1365.5976
 970316  6285.50  1365.6093
 970317  6286.50  1365.5889
