MENS,White/Brown,1990,,Turf Sample,EWING
MENS,White/Orange/Blue,1990,,Adidas Attitude Ewing,EWING
MENS,White/Blue,1970,Blue,Volley Pro,PUMA
MENS,Indigo/Blue/Silver,1970,Indigo/Blue/Silver,Runner,Patrick
MENS,Blue/White,1972,Blue,Marathon,NIKE
MENS,Red/Blue/White,1973,Blue,Pre Montreal,NIKE
MENS,Black Check,1973,Black Checkerboard,Slip/on,VANS
MENS,Red/White/Blue,1973,Red,Americas,NIKE
MENS,Yellow/Green,1973,Oregon,Oregon Waffle,NIKE
MENS,White/Grey/Black,1974,White,Astrograbber,NIKE
MENS,Red/White,1974,Red,First Waffle Trainer,NIKE
MENS,Blue/White,1974,Blue,Canada Quick 4,NIKE
MENS,Yellow/Green,1975,Oregon,Nylon Cortez,NIKE
MENS,Mint/Navy,1976,Mint,Triumph,NIKE
MENS,Orange/Green,1976,Orange,Sting,NIKE
MENS,Black/White,1976,Black,Sk8/Hi,VANS
MENS,Orange/Navy,1976,Orange,Verdun,NIKE
MENS,White/Red,1976,Red,Pro Leather,CONVERSE
MENS,Blue/Lime/Orange,1976,Orange,Triumph,NIKE
MENS,Blue/Varsity Maize,1976,Blue,LD1000,NIKE
MENS,White/Blue/Green,1977,Blue,Colorado,NIKE
MENS,Purple/Varsity Maize,1977,Purple,Waffle Racer,NIKE
MENS,Orange/White,1977,Orange,Universe,NIKE
MENS,White/Blue,1978,White/Blue,Wimbledon (Leather),NIKE
MENS,White/Varsity Red/Blue/Neon Pink,1978,White/Varsity Red/Blue/Neon Pink,Marathon,Patrick
MENS,Green/Yellow,1978,Green/Yellow,Oregon Waffle,NIKE
MENS,Yellow/Red,1978,Yellow/Red,LD/1000 (Nylon Mesh),NIKE
MENS,White/Blue,1978,White/Blue,All Court (Canvas),NIKE
WOMENS,Black/White,1978,Black/White,Greco (Nylon),NIKE
MENS,Green/White,1978,Green/White,Bruin (Suede),NIKE
WOMENS,White/Blue,1978,White/Blue,The Volley (Canvas/Suede),NIKE
MENS,White/Black,1978,White/Black,All Court Hi Top (Canvas),NIKE
MENS,White/Red/Blue,1978,White/Red/Blue,Leather Cortez Deluxe,NIKE
MENS,Green/Red/Blue,1978,Green/Red/Blue,Triumph (Nylon),NIKE
MENS,White/Blue,1978,White/Blue,Match Point (Canvas),NIKE
MENS,Burgundy/White,1978,Burgundy/White,Blazer Hi Top (Suede),NIKE
WOMENS,Blue/White,1978,Blue/White,Senorita Cortez (Nylon),NIKE
